Plate ID,Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
PV002,2024-01-03,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.17,0.28,0.33,0.35,0.33,0.28,0.22,0.17,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-03,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.12,0.20,0.24,0.26,0.24,0.20,0.16,0.12,0.06,0.02,0.00,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-03,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.20,0.33,0.40,0.43,0.40,0.33,0.27,0.20,0.11,0.04,0.00,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-03,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.18,0.30,0.36,0.39,0.36,0.30,0.24,0.18,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-04,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.30,0.50,0.70,0.80,0.85,0.75,0.60,0.40,0.25,0.10,0.05,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-04,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.33,0.55,0.77,0.88,0.94,0.83,0.66,0.44,0.28,0.11,0.06,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-04,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.26,0.43,0.60,0.69,0.74,0.65,0.52,0.35,0.22,0.09,0.04,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-04,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.20,0.40,0.67,0.93,1.06,1.13,1.00,0.80,0.53,0.33,0.13,0.07,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-04,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.16,0.32,0.53,0.74,0.85,0.91,0.80,0.64,0.43,0.27,0.11,0.05,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-05,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.20,0.35,0.45,0.50,0.48,0.40,0.30,0.20,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-05,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.22,0.39,0.50,0.55,0.53,0.44,0.33,0.22,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-05,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.16,0.27,0.35,0.39,0.37,0.31,0.23,0.15,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-05,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.14,0.28,0.49,0.63,0.69,0.67,0.56,0.42,0.28,0.14,0.07,0.00,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-05,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.24,0.42,0.54,0.59,0.57,0.48,0.36,0.24,0.12,0.06,0.00,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-06,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.15,0.25,0.30,0.32,0.30,0.25,0.20,0.15,0.08,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-06,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.17,0.28,0.33,0.35,0.33,0.28,0.22,0.17,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-06,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.12,0.20,0.24,0.26,0.24,0.20,0.16,0.12,0.06,0.02,0.00,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-06,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.20,0.33,0.40,0.43,0.40,0.33,0.27,0.20,0.11,0.04,0.00,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-06,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.18,0.30,0.36,0.39,0.36,0.30,0.24,0.18,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-07,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.30,0.50,0.70,0.80,0.85,0.75,0.60,0.40,0.25,0.10,0.05,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-07,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.33,0.55,0.77,0.88,0.94,0.83,0.66,0.44,0.28,0.11,0.06,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-07,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.26,0.43,0.60,0.69,0.74,0.65,0.52,0.35,0.22,0.09,0.04,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-07,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.20,0.40,0.67,0.93,1.06,1.13,1.00,0.80,0.53,0.33,0.13,0.07,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-07,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.16,0.32,0.53,0.74,0.85,0.91,0.80,0.64,0.43,0.27,0.11,0.05,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-08,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.20,0.35,0.45,0.50,0.48,0.40,0.30,0.20,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-08,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.22,0.39,0.50,0.55,0.53,0.44,0.33,0.22,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-08,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.16,0.27,0.35,0.39,0.37,0.31,0.23,0.15,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-08,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.14,0.28,0.49,0.63,0.69,0.67,0.56,0.42,0.28,0.14,0.07,0.00,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-08,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.24,0.42,0.54,0.59,0.57,0.48,0.36,0.24,0.12,0.06,0.00,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-09,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.15,0.25,0.30,0.32,0.30,0.25,0.20,0.15,0.08,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-09,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.17,0.28,0.33,0.35,0.33,0.28,0.22,0.17,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-09,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.12,0.20,0.24,0.26,0.24,0.20,0.16,0.12,0.06,0.02,0.00,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-09,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.20,0.33,0.40,0.43,0.40,0.33,0.27,0.20,0.11,0.04,0.00,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-09,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.18,0.30,0.36,0.39,0.36,0.30,0.24,0.18,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-10,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.30,0.50,0.70,0.80,0.85,0.75,0.60,0.40,0.25,0.10,0.05,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-10,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.33,0.55,0.77,0.88,0.94,0.83,0.66,0.44,0.28,0.11,0.06,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-10,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.26,0.43,0.60,0.69,0.74,0.65,0.52,0.35,0.22,0.09,0.04,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-10,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.20,0.40,0.67,0.93,1.06,1.13,1.00,0.80,0.53,0.33,0.13,0.07,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-10,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.16,0.32,0.53,0.74,0.85,0.91,0.80,0.64,0.43,0.27,0.11,0.05,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-11,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.20,0.35,0.45,0.50,0.48,0.40,0.30,0.20,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-11,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.22,0.39,0.50,0.55,0.53,0.44,0.33,0.22,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-11,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.16,0.27,0.35,0.39,0.37,0.31,0.23,0.15,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-11,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.14,0.28,0.49,0.63,0.69,0.67,0.56,0.42,0.28,0.14,0.07,0.00,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-11,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.24,0.42,0.54,0.59,0.57,0.48,0.36,0.24,0.12,0.06,0.00,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-12,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.15,0.25,0.30,0.32,0.30,0.25,0.20,0.15,0.08,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-12,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.17,0.28,0.33,0.35,0.33,0.28,0.22,0.17,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-12,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.12,0.20,0.24,0.26,0.24,0.20,0.16,0.12,0.06,0.02,0.00,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-12,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.20,0.33,0.40,0.43,0.40,0.33,0.27,0.20,0.11,0.04,0.00,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-12,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.18,0.30,0.36,0.39,0.36,0.30,0.24,0.18,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-13,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.30,0.50,0.70,0.80,0.85,0.75,0.60,0.40,0.25,0.10,0.05,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-13,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.33,0.55,0.77,0.88,0.94,0.83,0.66,0.44,0.28,0.11,0.06,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-13,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.26,0.43,0.60,0.69,0.74,0.65,0.52,0.35,0.22,0.09,0.04,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-13,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.20,0.40,0.67,0.93,1.06,1.13,1.00,0.80,0.53,0.33,0.13,0.07,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-13,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.16,0.32,0.53,0.74,0.85,0.91,0.80,0.64,0.43,0.27,0.11,0.05,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-14,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.20,0.35,0.45,0.50,0.48,0.40,0.30,0.20,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-14,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.22,0.39,0.50,0.55,0.53,0.44,0.33,0.22,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-14,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.16,0.27,0.35,0.39,0.37,0.31,0.23,0.15,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-14,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.14,0.28,0.49,0.63,0.69,0.67,0.56,0.42,0.28,0.14,0.07,0.00,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-14,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.24,0.42,0.54,0.59,0.57,0.48,0.36,0.24,0.12,0.06,0.00,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-15,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.15,0.25,0.30,0.32,0.30,0.25,0.20,0.15,0.08,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-15,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.17,0.28,0.33,0.35,0.33,0.28,0.22,0.17,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-15,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.12,0.20,0.24,0.26,0.24,0.20,0.16,0.12,0.06,0.02,0.00,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-15,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.20,0.33,0.40,0.43,0.40,0.33,0.27,0.20,0.11,0.04,0.00,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-15,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.18,0.30,0.36,0.39,0.36,0.30,0.24,0.18,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-16,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.30,0.50,0.70,0.80,0.85,0.75,0.60,0.40,0.25,0.10,0.05,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-16,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.33,0.55,0.77,0.88,0.94,0.83,0.66,0.44,0.28,0.11,0.06,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-16,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.26,0.43,0.60,0.69,0.74,0.65,0.52,0.35,0.22,0.09,0.04,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-16,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.20,0.40,0.67,0.93,1.06,1.13,1.00,0.80,0.53,0.33,0.13,0.07,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-16,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.16,0.32,0.53,0.74,0.85,0.91,0.80,0.64,0.43,0.27,0.11,0.05,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-17,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.20,0.35,0.45,0.50,0.48,0.40,0.30,0.20,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-17,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.22,0.39,0.50,0.55,0.53,0.44,0.33,0.22,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-17,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.16,0.27,0.35,0.39,0.37,0.31,0.23,0.15,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-17,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.14,0.28,0.49,0.63,0.69,0.67,0.56,0.42,0.28,0.14,0.07,0.00,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-17,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.24,0.42,0.54,0.59,0.57,0.48,0.36,0.24,0.12,0.06,0.00,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-18,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.15,0.25,0.30,0.32,0.30,0.25,0.20,0.15,0.08,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-18,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.17,0.28,0.33,0.35,0.33,0.28,0.22,0.17,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-18,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.12,0.20,0.24,0.26,0.24,0.20,0.16,0.12,0.06,0.02,0.00,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-18,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.20,0.33,0.40,0.43,0.40,0.33,0.27,0.20,0.11,0.04,0.00,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-18,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.18,0.30,0.36,0.39,0.36,0.30,0.24,0.18,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-19,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.30,0.50,0.70,0.80,0.85,0.75,0.60,0.40,0.25,0.10,0.05,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-19,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.33,0.55,0.77,0.88,0.94,0.83,0.66,0.44,0.28,0.11,0.06,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-19,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.26,0.43,0.60,0.69,0.74,0.65,0.52,0.35,0.22,0.09,0.04,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-19,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.20,0.40,0.67,0.93,1.06,1.13,1.00,0.80,0.53,0.33,0.13,0.07,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-19,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.16,0.32,0.53,0.74,0.85,0.91,0.80,0.64,0.43,0.27,0.11,0.05,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-20,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.20,0.35,0.45,0.50,0.48,0.40,0.30,0.20,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-20,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.22,0.39,0.50,0.55,0.53,0.44,0.33,0.22,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-20,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.16,0.27,0.35,0.39,0.37,0.31,0.23,0.15,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.14,0.28,0.49,0.63,0.69,0.67,0.56,0.42,0.28,0.14,0.07,0.00,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-20,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.24,0.42,0.54,0.59,0.57,0.48,0.36,0.24,0.12,0.06,0.00,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-21,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.15,0.25,0.30,0.32,0.30,0.25,0.20,0.15,0.08,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-21,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.17,0.28,0.33,0.35,0.33,0.28,0.22,0.17,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-21,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.12,0.20,0.24,0.26,0.24,0.20,0.16,0.12,0.06,0.02,0.00,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-21,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.20,0.33,0.40,0.43,0.40,0.33,0.27,0.20,0.11,0.04,0.00,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-21,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.18,0.30,0.36,0.39,0.36,0.30,0.24,0.18,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-22,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.30,0.50,0.70,0.80,0.85,0.75,0.60,0.40,0.25,0.10,0.05,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-22,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.33,0.55,0.77,0.88,0.94,0.83,0.66,0.44,0.28,0.11,0.06,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-22,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.26,0.43,0.60,0.69,0.74,0.65,0.52,0.35,0.22,0.09,0.04,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-22,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.20,0.40,0.67,0.93,1.06,1.13,1.00,0.80,0.53,0.33,0.13,0.07,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-22,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.16,0.32,0.53,0.74,0.85,0.91,0.80,0.64,0.43,0.27,0.11,0.05,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-23,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.20,0.35,0.45,0.50,0.48,0.40,0.30,0.20,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-23,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.22,0.39,0.50,0.55,0.53,0.44,0.33,0.22,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-23,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.16,0.27,0.35,0.39,0.37,0.31,0.23,0.15,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-23,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.14,0.28,0.49,0.63,0.69,0.67,0.56,0.42,0.28,0.14,0.07,0.00,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-23,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.24,0.42,0.54,0.59,0.57,0.48,0.36,0.24,0.12,0.06,0.00,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-24,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.15,0.25,0.30,0.32,0.30,0.25,0.20,0.15,0.08,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-24,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.17,0.28,0.33,0.35,0.33,0.28,0.22,0.17,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-24,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.12,0.20,0.24,0.26,0.24,0.20,0.16,0.12,0.06,0.02,0.00,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-24,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.20,0.33,0.40,0.43,0.40,0.33,0.27,0.20,0.11,0.04,0.00,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-24,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.18,0.30,0.36,0.39,0.36,0.30,0.24,0.18,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-25,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.30,0.50,0.70,0.80,0.85,0.75,0.60,0.40,0.25,0.10,0.05,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-25,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.33,0.55,0.77,0.88,0.94,0.83,0.66,0.44,0.28,0.11,0.06,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-25,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.26,0.43,0.60,0.69,0.74,0.65,0.52,0.35,0.22,0.09,0.04,0.00,0.00,0.00,0.00,0.00
PV004,2024-01-25,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.20,0.40,0.67,0.93,1.06,1.13,1.00,0.80,0.53,0.33,0.13,0.07,0.00,0.00,0.00,0.00,0.00
PV005,2024-01-25,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.16,0.32,0.53,0.74,0.85,0.91,0.80,0.64,0.43,0.27,0.11,0.05,0.00,0.00,0.00,0.00,0.00
PV001,2024-01-26,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.20,0.35,0.45,0.50,0.48,0.40,0.30,0.20,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00
PV002,2024-01-26,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.22,0.39,0.50,0.55,0.53,0.44,0.33,0.22,0.11,0.06,0.00,0.00,0.00,0.00,0.00,0.00
PV003,2024-01-26,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.16,0.27,0.35,0.39,0.37,0.31,0.23,0.15,0.08,0.04,0.00,0.00,0.00,0.00,0.00,0.00
