Fecha,Produccion_Monocristalina_kWh,Precio_Luz_Euro_kWh
2022-12-08,1.93,0.13
2022-12-09,1.83,0.144
2022-12-10,2.25,0.136
2022-12-11,2.3,0.165
2022-12-12,1.94,0.178
2022-12-13,2.31,0.15
2022-12-14,2.36,0.135
2022-12-15,1.81,0.171
2022-12-16,2.23,0.167
2022-12-17,2.17,0.135
2022-12-18,1.92,0.17
2022-12-19,2.06,0.148
2022-12-20,2.09,0.171
2022-12-21,2.32,0.157
2022-12-22,2.35,0.149
2022-12-23,1.81,0.161
2022-12-24,2.02,0.134
2022-12-25,1.83,0.152
2022-12-26,2.34,0.168
2022-12-27,2.02,0.144
2022-12-28,2.15,0.164
2022-12-29,2.13,0.177
2022-12-30,2.16,0.169
2022-12-31,2.37,0.15
