Fecha,Produccion_Monocristalina_kWh,Precio_Luz_Euro_kWh
2024-04-10,2.3,0.154
2024-04-11,2.2,0.191
2024-04-12,2.06,0.165
2024-04-13,1.97,0.182
2024-04-14,2.16,0.209
2024-04-15,2.37,0.191
2024-04-16,2.56,0.163
2024-04-17,2.59,0.179
2024-04-18,2.17,0.2
2024-04-19,2.36,0.211
2024-04-20,2.22,0.183
2024-04-21,2.19,0.166
2024-04-22,2.6,0.178
2024-04-23,2.03,0.195
2024-04-24,2.46,0.163
2024-04-25,2.07,0.189
2024-04-26,2.22,0.173
2024-04-27,2.51,0.187
2024-04-28,2.0,0.182
2024-04-29,2.31,0.166
2024-04-30,2.18,0.199
2024-05-01,2.54,0.19
2024-05-02,2.43,0.158
2024-05-03,2.11,0.173
2024-05-04,2.35,0.218
2024-05-05,2.52,0.154
2024-05-06,2.02,0.155
2024-05-07,2.63,0.181
2024-05-08,1.96,0.162
2024-05-09,2.58,0.182
2024-05-10,2.38,0.182
2024-05-11,2.01,0.188
2024-05-12,2.03,0.183
2024-05-13,2.63,0.215
2024-05-14,2.07,0.2
2024-05-15,2.51,0.176
2024-05-16,1.96,0.202
2024-05-17,2.53,0.172
2024-05-18,2.63,0.151
2024-05-19,2.1,0.191
2024-05-20,2.48,0.215
2024-05-21,2.02,0.198
2024-05-22,2.16,0.176
2024-05-23,2.55,0.178
2024-05-24,2.52,0.18
2024-05-25,2.11,0.218
2024-05-26,2.05,0.207
2024-05-27,2.3,0.17
2024-05-28,2.5,0.154
2024-05-29,2.47,0.171
2024-05-30,2.36,0.2
2024-05-31,2.12,0.182
2024-06-01,2.09,0.16
2024-06-02,2.61,0.153
2024-06-03,2.57,0.175
2024-06-04,2.21,0.169
2024-06-05,2.01,0.213
2024-06-06,2.05,0.179
2024-06-07,2.24,0.211
2024-06-08,2.55,0.151
2024-06-09,2.06,0.192
2024-06-10,2.61,0.164
2024-06-11,2.34,0.204
2024-06-12,2.23,0.199
2024-06-13,2.38,0.188
2024-06-14,2.5,0.174
2024-06-15,2.61,0.198
2024-06-16,2.18,0.169
2024-06-17,2.16,0.193
2024-06-18,2.58,0.181
2024-06-19,2.15,0.196
2024-06-20,2.58,0.162
2024-06-21,2.3,0.214
2024-06-22,1.96,0.178
2024-06-23,2.5,0.185
2024-06-24,2.3,0.153
2024-06-25,2.18,0.196
2024-06-26,2.02,0.163
2024-06-27,2.2,0.181
2024-06-28,1.98,0.157
2024-06-29,2.24,0.184
2024-06-30,2.19,0.204
2024-07-01,2.17,0.168
2024-07-02,2.35,0.208
2024-07-03,2.35,0.208
2024-07-04,2.07,0.152
2024-07-05,2.36,0.177
2024-07-06,2.51,0.194
2024-07-07,2.23,0.154
2024-07-08,2.27,0.2
2024-07-09,1.98,0.154
2024-07-10,2.2,0.196
2024-07-11,2.01,0.217
2024-07-12,2.4,0.207
2024-07-13,2.22,0.195
2024-07-14,2.26,0.167
2024-07-15,2.24,0.196
2024-07-16,2.04,0.19
2024-07-17,2.27,0.178
2024-07-18,2.5,0.184
2024-07-19,1.97,0.178
2024-07-20,2.04,0.18
2024-07-21,1.98,0.164
2024-07-22,2.62,0.182
2024-07-23,2.44,0.194
2024-07-24,2.55,0.171
2024-07-25,1.99,0.178
2024-07-26,1.97,0.153
2024-07-27,2.2,0.194
2024-07-28,1.97,0.181
2024-07-29,2.48,0.193
2024-07-30,2.43,0.211
2024-07-31,2.38,0.156
2024-08-01,2.49,0.191
2024-08-02,2.33,0.2
2024-08-03,2.63,0.176
2024-08-04,2.48,0.166
2024-08-05,2.47,0.165
2024-08-06,2.48,0.193
2024-08-07,2.14,0.213
2024-08-08,2.08,0.152
2024-08-09,2.36,0.188
2024-08-10,2.54,0.197
2024-08-11,2.16,0.175
2024-08-12,2.44,0.188
2024-08-13,1.98,0.21
2024-08-14,1.96,0.192
2024-08-15,2.25,0.171
2024-08-16,2.02,0.179
2024-08-17,2.23,0.219
2024-08-18,2.06,0.201
2024-08-19,2.27,0.196
2024-08-20,2.1,0.156
2024-08-21,2.25,0.159
2024-08-22,2.5,0.202
2024-08-23,2.55,0.168
2024-08-24,2.64,0.196
2024-08-25,2.45,0.219
2024-08-26,2.21,0.162
2024-08-27,2.55,0.156
2024-08-28,2.17,0.18
2024-08-29,2.25,0.176
2024-08-30,2.15,0.186
2024-08-31,2.55,0.175
2024-09-01,2.59,0.218
2024-09-02,2.59,0.163
2024-09-03,1.96,0.199
2024-09-04,2.36,0.153
2024-09-05,2.03,0.196
2024-09-06,2.35,0.219
2024-09-07,2.47,0.189
2024-09-08,2.01,0.22
2024-09-09,2.32,0.202
2024-09-10,2.5,0.21
2024-09-11,2.47,0.204
2024-09-12,2.23,0.151
2024-09-13,2.16,0.215
2024-09-14,2.08,0.19
2024-09-15,2.2,0.17
2024-09-16,2.6,0.162
2024-09-17,2.4,0.18
2024-09-18,2.02,0.178
2024-09-19,2.54,0.182
2024-09-20,2.63,0.162
2024-09-21,2.08,0.204
2024-09-22,2.37,0.156
2024-09-23,2.2,0.189
2024-09-24,2.49,0.167
2024-09-25,2.08,0.189
2024-09-26,2.07,0.151
2024-09-27,2.6,0.209
2024-09-28,2.31,0.16
2024-09-29,2.25,0.186
2024-09-30,2.45,0.183
2024-10-01,2.13,0.158
2024-10-02,2.11,0.152
2024-10-03,2.28,0.169
2024-10-04,2.59,0.172
2024-10-05,2.29,0.167
2024-10-06,2.19,0.206
2024-10-07,2.06,0.152
2024-10-08,2.37,0.156
2024-10-09,2.21,0.167
2024-10-10,2.59,0.199
2024-10-11,2.19,0.17
2024-10-12,2.47,0.159
2024-10-13,2.62,0.198
2024-10-14,2.11,0.219
2024-10-15,2.35,0.175
2024-10-16,2.53,0.183
2024-10-17,2.5,0.211
2024-10-18,2.55,0.202
2024-10-19,2.45,0.184
2024-10-20,2.18,0.184
2024-10-21,2.1,0.177
2024-10-22,2.13,0.17
2024-10-23,2.02,0.214
2024-10-24,2.59,0.212
2024-10-25,2.52,0.168
2024-10-26,2.48,0.217
2024-10-27,2.53,0.151
2024-10-28,2.28,0.163
2024-10-29,2.23,0.213
2024-10-30,2.47,0.179
2024-10-31,2.16,0.21
2024-11-01,2.4,0.197
2024-11-02,2.41,0.199
2024-11-03,2.05,0.153
2024-11-04,2.4,0.168
2024-11-05,2.34,0.179
2024-11-06,2.34,0.17
2024-11-07,2.23,0.188
2024-11-08,2.27,0.195
2024-11-09,2.21,0.179
2024-11-10,2.16,0.16
2024-11-11,2.54,0.204
2024-11-12,2.37,0.199
2024-11-13,2.09,0.189
2024-11-14,2.56,0.15
2024-11-15,2.52,0.169
2024-11-16,2.64,0.161
2024-11-17,2.16,0.16
2024-11-18,2.5,0.165
2024-11-19,2.12,0.216
2024-11-20,2.45,0.197
2024-11-21,2.07,0.203
2024-11-22,2.08,0.193
2024-11-23,2.22,0.197
2024-11-24,2.53,0.215
2024-11-25,2.47,0.195
2024-11-26,2.45,0.204
2024-11-27,2.1,0.2
2024-11-28,2.5,0.209
2024-11-29,2.23,0.157
2024-11-30,2.5,0.17
2024-12-01,2.64,0.18
2024-12-02,2.23,0.167
2024-12-03,2.59,0.171
2024-12-04,2.52,0.15
2024-12-05,2.45,0.16
2024-12-06,2.1,0.204
2024-12-07,2.6,0.154
2024-12-08,2.0,0.18
2024-12-09,2.2,0.179
2024-12-10,1.98,0.154
2024-12-11,2.27,0.175
2024-12-12,2.34,0.195
2024-12-13,2.26,0.199
2024-12-14,2.12,0.161
2024-12-15,2.33,0.164
2024-12-16,2.6,0.193
2024-12-17,2.28,0.218
2024-12-18,2.15,0.207
2024-12-19,2.2,0.155
2024-12-20,2.34,0.187
2024-12-21,2.28,0.154
2024-12-22,2.23,0.188
2024-12-23,2.15,0.161
2024-12-24,2.54,0.214
2024-12-25,2.38,0.154
2024-12-26,1.99,0.189
2024-12-27,2.64,0.215
2024-12-28,2.51,0.192
2024-12-29,2.49,0.168
2024-12-30,2.6,0.219
2024-12-31,2.25,0.196
